holiday_date,holiday_type_id
20130101,1
20130102,1
20130103,1
20130209,2
20130210,2
20130211,2
20130212,2
20130213,2
20130214,2
20130215,2
20130404,3
20130405,3
20130406,3
20130429,4
20130430,4
20130501,4
20130610,5
20130611,5
20130612,5
20130919,6
20130920,6
20130921,6
20131001,7
20131002,7
20131003,7
20131004,7
20131005,7
20131006,7
20131007,7
20140101,1
20140131,2
20140201,2
20140202,2
20140203,2
20140204,2
20140205,2
20140206,2
20140405,3
20140501,4
20140502,4
20140503,4
20140602,5
20140908,6
20141001,7
20141002,7
20141003,7
20141004,7
20141005,7
20141006,7
20141007,7
20150101,1
20150102,1
20150103,1
20150218,2
20150219,2
20150220,2
20150221,2
20150222,2
20150223,2
20150224,2
20150404,3
20150405,3
20150406,3
20150501,4
20150502,4
20150503,4
20150620,5
20150621,5
20150622,5
20150926,6
20150927,6
20151001,7
20151002,7
20151003,7
20151004,7
20151005,7
20151006,7
20151007,7
